year,name,slug,locationCode,shapeClass,shapeLabel,baseToCoreRatio,childrenShare,workingAgeShare,olderShare,incomeGroup,incomeGroupCode,worldBankCode,maleToFemale20to49,femaleToMale65Plus,workingAgeBulgeShare,youthBulgeShare,interestingTags,interestingTagLabels,notchedCohorts,maleDentCohorts,population,imagePath,pageUrl,dataUrl,imageUrl
2026,Afghanistan,afghanistan,4,high-growth-pyramid,High-growth pyramid,2.498,42.22,55.33,2.45,Low income,LIC,AFG,1.025,1.362,38.01,29.44,world-bank-fcv-fy2027; youth-bulge; very-young-population,World Bank Public FCV list (FY2027); Youth bulge; Very young population,,,45047069,/population-pyramids/2026/high-growth-pyramid/afghanistan.png,https://www.populationpyramid.net/afghanistan/2026/,https://www.populationpyramid.net/api/pp/4/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fafghanistan%2F2026%2F%3Fshare%3Dtrue
2026,Albania,albania,8,low-growth-constrictive,Low-growth / constrictive,0.778,16.33,65.34,18.33,Upper middle income,UMC,ALB,1.024,1.144,41.18,19.36,,,,,2751025,/population-pyramids/2026/low-growth-constrictive/albania.png,https://www.populationpyramid.net/albania/2026/,https://www.populationpyramid.net/api/pp/8/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Falbania%2F2026%2F%3Fshare%3Dtrue
2026,Algeria,algeria,12,high-growth-pyramid,High-growth pyramid,1.408,29.44,63.51,7.04,Upper middle income,UMC,DZA,1.055,1.065,41.29,20.78,,,,,48028334,/population-pyramids/2026/high-growth-pyramid/algeria.png,https://www.populationpyramid.net/algeria/2026/,https://www.populationpyramid.net/api/pp/12/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Falgeria%2F2026%2F%3Fshare%3Dtrue
2026,Angola,angola,24,high-growth-pyramid,High-growth pyramid,2.735,43.82,53.24,2.94,Lower middle income,LMC,AGO,0.975,1.291,35.45,26.67,very-young-population,Very young population,,,40215180,/population-pyramids/2026/high-growth-pyramid/angola.png,https://www.populationpyramid.net/angola/2026/,https://www.populationpyramid.net/api/pp/24/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fangola%2F2026%2F%3Fshare%3Dtrue
2026,Antigua and Barbuda,antigua-and-barbuda,28,low-growth-constrictive,Low-growth / constrictive,0.789,17.22,69.89,12.89,High income,HIC,ATG,0.962,1.457,43.1,21.05,,,,,94626,/population-pyramids/2026/low-growth-constrictive/antigua-and-barbuda.png,https://www.populationpyramid.net/antigua-and-barbuda/2026/,https://www.populationpyramid.net/api/pp/28/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fantigua-and-barbuda%2F2026%2F%3Fshare%3Dtrue
2026,Argentina,argentina,32,bullet-column,Bullet / column,0.944,20.42,66.73,12.85,Upper middle income,UMC,ARG,1.032,1.345,43.59,22.98,,,,,46003734,/population-pyramids/2026/bullet-column/argentina.png,https://www.populationpyramid.net/argentina/2026/,https://www.populationpyramid.net/api/pp/32/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fargentina%2F2026%2F%3Fshare%3Dtrue
2026,Armenia,armenia,51,bullet-column,Bullet / column,0.858,18.7,66.13,15.18,Upper middle income,UMC,ARM,0.922,1.738,42.22,18.5,female-longevity-skew,Older female surplus,,,2930915,/population-pyramids/2026/bullet-column/armenia.png,https://www.populationpyramid.net/armenia/2026/,https://www.populationpyramid.net/api/pp/51/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Farmenia%2F2026%2F%3Fshare%3Dtrue
2026,Aruba,aruba,533,bullet-column,Bullet / column,0.891,16.19,65.34,18.47,High income,HIC,ABW,0.948,1.375,36.83,18.39,,,,,108164,/population-pyramids/2026/bullet-column/aruba.png,https://www.populationpyramid.net/aruba/2026/,https://www.populationpyramid.net/api/pp/533/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Faruba%2F2026%2F%3Fshare%3Dtrue
2026,Australia,australia,36,bullet-column,Bullet / column,0.856,17.52,64.02,18.47,High income,HIC,AUS,1.009,1.144,40.2,18.79,,,,,27227096,/population-pyramids/2026/bullet-column/australia.png,https://www.populationpyramid.net/australia/2026/,https://www.populationpyramid.net/api/pp/36/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Faustralia%2F2026%2F%3Fshare%3Dtrue
2026,Austria,austria,40,low-growth-constrictive,Low-growth / constrictive,0.722,14.05,64.32,21.63,High income,HIC,AUT,1.035,1.255,37.63,15.65,,,,,9107266,/population-pyramids/2026/low-growth-constrictive/austria.png,https://www.populationpyramid.net/austria/2026/,https://www.populationpyramid.net/api/pp/40/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Faustria%2F2026%2F%3Fshare%3Dtrue
2026,Azerbaijan,azerbaijan,31,bullet-column,Bullet / column,0.897,20.59,69.63,9.78,Upper middle income,UMC,AZE,0.98,1.4,44.9,20.91,,,,,10454855,/population-pyramids/2026/bullet-column/azerbaijan.png,https://www.populationpyramid.net/azerbaijan/2026/,https://www.populationpyramid.net/api/pp/31/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fazerbaijan%2F2026%2F%3Fshare%3Dtrue
2026,Bahamas,bahamas,44,low-growth-constrictive,Low-growth / constrictive,0.774,17.24,70.31,12.45,High income,HIC,BHS,0.929,1.384,44.33,21.81,,,,,404629,/population-pyramids/2026/low-growth-constrictive/bahamas.png,https://www.populationpyramid.net/bahamas/2026/,https://www.populationpyramid.net/api/pp/44/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fbahamas%2F2026%2F%3Fshare%3Dtrue
2026,Bahrain,bahrain,48,low-growth-constrictive,Low-growth / constrictive,0.573,18.16,77.65,4.19,High income,HIC,BHR,2.033,0.915,59.69,21.42,male-working-age-surplus; working-age-bulge,Working-age male surplus; Working-age bulge,,,1675572,/population-pyramids/2026/low-growth-constrictive/bahrain.png,https://www.populationpyramid.net/bahrain/2026/,https://www.populationpyramid.net/api/pp/48/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fbahrain%2F2026%2F%3Fshare%3Dtrue
2026,Bangladesh,bangladesh,50,high-growth-pyramid,High-growth pyramid,1.276,27.33,65.83,6.84,Lower middle income,LMC,BGD,0.889,1.04,44.99,27.24,male-working-age-deficit,Working-age male deficit,,,177818044,/population-pyramids/2026/high-growth-pyramid/bangladesh.png,https://www.populationpyramid.net/bangladesh/2026/,https://www.populationpyramid.net/api/pp/50/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fbangladesh%2F2026%2F%3Fshare%3Dtrue
2026,Barbados,barbados,52,bullet-column,Bullet / column,0.867,16.93,65.45,17.62,High income,HIC,BRB,0.976,1.359,38.93,19.33,,,,,282725,/population-pyramids/2026/bullet-column/barbados.png,https://www.populationpyramid.net/barbados/2026/,https://www.populationpyramid.net/api/pp/52/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fbarbados%2F2026%2F%3Fshare%3Dtrue
2026,Belarus,belarus,112,low-growth-constrictive,Low-growth / constrictive,0.741,15.46,65.65,18.89,Upper middle income,UMC,BLR,1.02,1.906,39.55,15.57,female-longevity-skew,Older female surplus,,,8937018,/population-pyramids/2026/low-growth-constrictive/belarus.png,https://www.populationpyramid.net/belarus/2026/,https://www.populationpyramid.net/api/pp/112/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fbelarus%2F2026%2F%3Fshare%3Dtrue
2026,Belgium,belgium,56,bullet-column,Bullet / column,0.812,15.41,63.21,21.37,High income,HIC,BEL,1.012,1.218,37.5,17.76,,,,,11774643,/population-pyramids/2026/bullet-column/belgium.png,https://www.populationpyramid.net/belgium/2026/,https://www.populationpyramid.net/api/pp/56/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fbelgium%2F2026%2F%3Fshare%3Dtrue
2026,Belize,belize,84,bullet-column,Bullet / column,1.115,26.01,68.54,5.45,Upper middle income,UMC,BLZ,1.025,1.104,47.94,27.09,,,,,428645,/population-pyramids/2026/bullet-column/belize.png,https://www.populationpyramid.net/belize/2026/,https://www.populationpyramid.net/api/pp/84/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fbelize%2F2026%2F%3Fshare%3Dtrue
2026,Benin,benin,204,high-growth-pyramid,High-growth pyramid,2.378,40.94,55.86,3.19,Lower middle income,LMC,BEN,1.01,1.209,37.77,27.51,very-young-population,Very young population,,,15170419,/population-pyramids/2026/high-growth-pyramid/benin.png,https://www.populationpyramid.net/benin/2026/,https://www.populationpyramid.net/api/pp/204/2026/,https://images.populationpyramid.net/capture/?selector=%23pyramid-share-container&url=https%3A%2F%2Fwww.populationpyramid.net%2Fbenin%2F2026%2F%3Fshare%3Dtrue
